name, birthdate,inaugurated
"George Washington",'1732-02-22','1789-04-30'
"John Adams",'1735-10-30','1797-03-04'
"Thomas Jefferson",'1743-04-13','1801-03-04'
"James Madison",'1751-03-16','1809-03-04'
