TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110151720,1,1,-1.0,3,1,-1,6,1,0,-1,-1,2,1,2,-1,1,1,1,2, 28817622.270778,1,3,2,67,7,-2,-1,-1,2,-1,-1,-1,-1,-2,-1,73
20151110151724,1,1,35.5,3,1,-1,30,5,0,0,2,1,1,2,-1,1,3,2,1,  4870772.710984,2,3,1,67,7,-1,1,2,1,1,1,2,2,227,-1,0
20151110151725,1,1,19.4,3,1,5,60,-3,0,0,-1,1,-3,1,3,1,7,1,1, 10211170.979262,2,3,1,66,7,-1,1,2,1,2,1,2,1,120,2,0
20151110151727,1,1,22.5,3,1,5,120,0,0,0,-1,2,2,1,3,2,-1,-1,1,  7623644.142598,2,1,2,65,7,-1,-1,-1,2,-1,-1,-1,-1,135,-1,0
20151110151729,1,2,25.8,3,5,5,95,12,0,0,1,1,1,2,-1,2,-1,-1,1,  6869434.634562,2,2,1,71,7,2,-1,-1,2,1,1,2,-1,185,-1,0
20151110151730,1,1,30.3,3,1,-1,45,0,0,0,-1,2,2,1,2,2,-1,-1,1,  3536269.925954,2,3,1,73,7,-1,1,2,1,-1,1,2,2,230,-1,0
20151110151734,1,1,33.3,2,1,-1,0,0,0,0,-1,1,2,2,-1,1,2,1,1, 11581919.636115,1,4,1,65,7,-3,1,2,1,2,1,3,2,200,2,81
20151110151735,1,1,25.0,3,1,5,40,25,0,0,-1,1,1,1,3,1,2,1,1,  2406482.017402,2,2,2,66,7,-1,-1,-1,2,2,-1,-1,-1,155,2,0
20151110151738,1,1,25.8,3,1,-1,75,0,0,0,-1,2,2,1,7,2,-1,-1,1,  2371839.226912,2,3,2,71,7,-1,1,2,1,-1,-1,-1,2,185,-1,0
20151110151746,1,2,37.1,3,3,-1,0,55,0,0,-1,2,1,1,4,2,-1,-1,2,  8914850.362574,2,3,1,66,7,1,2,2,1,-1,1,3,-1,230,2,0
